"popdata","keyformerge"
"Gatesville","gatesville"
"George West","george west"
"Georgetown","georgetown"
"Gholson","gholson"
"Giddings","giddings"
"Gilmer","gilmer"
"Gladewater","gladewater"
"Glen Rose","glen rose"
"Glenn Heights","glenn heights"
"Godley","godley"
"Goldsmith","goldsmith"
"Goldthwaite","goldthwaite"
"Goliad","goliad"
"Golinda","golinda"
"Gonzales","gonzales"
"Goodlow","goodlow"
"Goodrich","goodrich"
"Gordon","gordon"
"Goree","goree"
"Gorman","gorman"
"Graford","graford"
"Graham","graham"
"Granbury","granbury"
"Grand Prairie","grand prairie"
"Grand Saline","grand saline"
"Grandfalls","grandfalls"
"Grandview","grandview"
"Granger","granger"
"Granite Shoals","granite shoals"
"Granjeno","granjeno"
"Grapeland","grapeland"
"Grapevine","grapevine"
"Grays Prairie","grays prairie"
"Greenville","greenville"
"Gregory","gregory"
"Grey Forest","grey forest"
"Groesbeck","groesbeck"
"Groom","groom"
"Groves","groves"
"Groveton","groveton"
"Gruver","gruver"
"Gun Barrel City","gun barrel"
"Gunter","gunter"
"Gustine","gustine"
"Hackberry","hackberry"
"Hale Center","hale center"
"Hallettsville","hallettsville"
"Hallsburg","hallsburg"
"Hallsville","hallsville"
"Haltom City","haltom"
"Hamilton","hamilton"
"Hamlin","hamlin"
"Happy","happy"
"Hardin","hardin"
"Harker Heights","harker heights"
"Harlingen","harlingen"
"Hart","hart"
"Haskell","haskell"
"Haslet","haslet"
"Hawk Cove","hawk cove"
"Hawkins","hawkins"
"Hawley","hawley"
"Hays","hays"
"Hearne","hearne"
"Heath","heath"
"Hebron","hebron"
"Hedley","hedley"
"Hedwig Village","hedwig"
"Helotes","helotes"
"Hemphill","hemphill"
"Hempstead","hempstead"
"Henderson","henderson"
"Henrietta","henrietta"
"Hereford","hereford"
"Hewitt","hewitt"
"Hickory Creek","hickory creek"
"Hico","hico"
"Hidalgo","hidalgo"
"Hideaway","hideaway"
"Higgins","higgins"
"Highland Haven","highland haven"
"Highland Park","highland park"
"Highland Village","highland"
"Hill Country Village","hill country"
"Hillcrest","hillcrest"
"Hillcrest Village","hillcrest"
"Hillsboro","hillsboro"
"Hilshire Village","hilshire"
"Hitchcock","hitchcock"
"Holiday Lakes","holiday lakes"
"Holland","holland"
"Holliday","holliday"
"Hollywood Park","hollywood park"
"Hondo","hondo"
"Honey Grove","honey grove"
"Hooks","hooks"
"Horizon City","horizon"
"Horseshoe Bay","horseshoe bay"
